time,state,accel_z,accel_mag,heading,altitude,latitude,longitude,heading_desired,error,servo_command
0,4,0,0,0,0.09,35.7865524,-115.2593917,0,0,0
0.29,4,9.39,9.62,2.19,0.01,35.7865409,-115.2593917,0,-2.19,89.79
0.69,4,9.56,9.77,1.88,-0.01,35.7865447,-115.2593765,313,-48.88,85.59
1.09,4,9.55,9.78,2.13,-0.05,35.7865676,-115.2593765,216,-146.13,76.77
1.49,4,9.42,9.75,1.25,-0.11,35.7865524,-115.2593917,0,-1.25,89.88
1.89,4,9.47,9.73,359.88,-0.17,35.7865486,-115.2593917,0,0.12,89.97
2.29,4,9.42,9.67,0.56,-0.25,35.7865524,-115.2593917,0,-0.56,89.91
2.69,4,9.61,9.92,1.12,-0.31,35.78656,-115.2593994,121,119.87,100.77
3.09,4,9.59,9.9,0.94,-0.37,35.7865562,-115.2593917,180,179.06,105
3.48,4,9.54,9.84,2.13,-0.44,35.7865486,-115.2593917,0,-2.13,89.79
3.88,4,9.59,9.86,4.25,-0.49,35.7865447,-115.2593917,0,-4.25,89.64
4.28,4,9.47,9.65,3.88,-0.56,35.7865486,-115.2593765,295,-68.87,83.79
4.68,4,9.47,9.68,3.88,-0.61,35.78656,-115.2593765,239,-124.87,78.72
5.08,4,9.69,9.88,4.44,-0.64,35.7865676,-115.2593917,180,175.56,105
5.48,4,9.68,9.89,4.81,-0.67,35.7865562,-115.2593765,262,-102.81,80.67
5.88,4,9.48,9.65,4.94,-0.7,35.7865524,-115.2593765,270,-94.94,81.42
6.28,4,9.58,9.8,4.81,-0.71,35.7865447,-115.2593917,0,-4.81,89.55
6.68,4,9.53,9.7,3.69,-0.73,35.7865447,-115.2593917,0,-3.69,89.64
7.12,4,9.61,9.77,4.63,-0.76,35.78656,-115.2593917,180,175.38,105
7.47,4,9.46,9.65,4.56,-0.78,35.7865447,-115.2593765,313,-51.56,85.32
7.87,4,9.53,9.71,4.06,-0.81,35.7865447,-115.2593917,0,-4.06,89.64
8.27,4,9.58,9.78,3.94,-0.85,35.7865447,-115.2593765,313,-50.94,85.38
8.67,4,9.61,9.79,3.81,-0.87,35.7865447,-115.2593612,299,-64.81,84.15
9.07,4,9.62,9.79,3.5,-0.88,35.7865524,-115.2593612,275,-88.5,81.99
9.47,4,9.48,9.71,3.06,-0.89,35.7865524,-115.2593612,275,-88.06,82.02
9.86,4,9.79,9.98,2.5,-0.9,35.7865409,-115.2593765,318,-44.5,85.92
10.26,4,9.65,9.86,1,-0.91,35.7865409,-115.2593765,318,-43,86.04
10.66,4,9.45,9.66,359.81,-0.93,35.7865409,-115.2593765,318,-41.81,86.13
11.06,4,9.64,9.76,359.44,-0.95,35.7865409,-115.2593765,318,-41.44,86.16
11.46,4,8.61,9.2,0.88,-0.97,35.7865486,-115.2593765,295,-65.87,83.94
11.86,4,9.61,9.75,359.81,-0.98,35.7865486,-115.2593765,295,-64.81,84.03
12.26,4,9.2,9.61,0.31,-0.97,35.7865409,-115.2593765,318,-42.31,86.04
12.66,4,9.66,10.04,0.31,-0.96,35.7865524,-115.2593765,270,-90.31,81.69
13.06,4,9.66,9.97,0.56,-0.96,35.78656,-115.2593612,257,-103.56,80.49
13.45,4,9.53,9.89,2,-0.94,35.7865562,-115.2593612,270,-92,81.51
13.85,4,9.73,10.07,0.88,-0.91,35.7865524,-115.2593612,275,-85.87,82.02
14.25,4,9.43,9.77,1.25,-0.88,35.7865562,-115.2593612,270,-91.25,81.54
14.65,4,9.6,9.84,1.37,-0.83,35.78656,-115.2593612,257,-104.37,80.31
15.05,4,9.45,9.76,1.19,-0.79,35.7865524,-115.2593765,270,-91.19,81.48
15.45,4,9.5,9.8,1.63,-0.76,35.7865409,-115.2593765,318,-43.63,85.77
15.85,4,9.46,9.7,2.13,-0.74,35.7865333,-115.2593765,330,-32.13,86.79
16.25,4,9.54,9.86,1.44,-0.71,35.7865371,-115.2593765,321,-40.44,86.01
16.64,4,9.8,10.22,4,-0.69,35.7865219,-115.2593765,342,-22,87.69
17.04,4,9.56,9.96,6.56,-0.66,35.7865257,-115.2593765,336,-30.56,86.91
17.44,4,9.56,9.96,7.31,-0.64,35.7865257,-115.2593612,320,-47.31,85.38
17.84,4,9.56,9.78,7.75,-0.61,35.7865409,-115.2593765,318,-49.75,85.14
18.24,4,9.71,9.9,8.63,-0.59,35.7865371,-115.2593765,321,-47.63,85.32
18.64,4,9.7,9.92,9.06,-0.6,35.7865142,-115.2593612,332,-37.06,86.28
19.04,4,9.62,9.86,8.69,-0.61,35.7865371,-115.259346,293,-75.69,82.77
19.44,4,9.47,9.78,8.19,-0.59,35.7865409,-115.2593612,302,-66.19,83.61
19.84,4,9.44,9.7,7.88,-0.58,35.786518,-115.2593612,329,-38.88,86.07
20.24,4,9.52,9.78,7.56,-0.56,35.7865219,-115.2593765,342,-25.56,87.27
20.63,4,9.45,9.79,7.63,-0.54,35.7865219,-115.2593765,342,-25.62,87.24
21.03,4,9.5,9.8,7.63,-0.53,35.7865142,-115.2593917,0,-7.63,88.86
21.43,4,9.43,9.72,8.69,-0.5,35.7865142,-115.2593917,0,-8.69,88.77
21.83,4,9.61,9.98,8.75,-0.49,35.7865142,-115.2593917,0,-8.75,88.77
22.23,4,9.55,10.16,8.69,-0.46,35.7865142,-115.2593917,0,-8.69,88.77
22.63,4,8.85,9,7.38,-0.41,35.786518,-115.2593917,0,-7.38,88.89
23.03,4,9.91,10.11,6.88,-0.34,35.786518,-115.2593917,0,-6.88,88.92
23.42,4,9.96,10.31,5.19,-0.28,35.786518,-115.2593917,0,-5.19,89.07
23.83,4,12.63,12.69,2.81,-0.23,35.786518,-115.2593917,0,-2.81,89.28
24.23,4,12.85,13.07,2.88,-0.17,35.786518,-115.2593917,0,-2.88,89.28
24.63,4,12.48,12.8,2.88,-0.09,35.786518,-115.2593917,0,-2.88,89.28
25.03,4,10.87,11.61,2.88,0.01,35.786518,-115.2593917,0,-2.88,89.28
25.42,4,8.63,8.97,2.81,0.27,35.7865219,-115.2593765,342,-20.81,87.66
25.82,4,9.94,10.35,2.69,0.67,35.7865333,-115.2593765,330,-32.69,86.58
26.22,4,9.84,10.17,2.63,1.23,35.7865409,-115.2593612,302,-60.63,84.06
26.62,4,10.03,10.27,2.25,1.95,35.78656,-115.259346,259,-103.25,80.19
27.02,4,9.56,9.86,2.38,2.83,35.7865753,-115.2593231,249,-113.37,79.26
27.42,4,9.38,9.76,2.38,3.88,35.786602,-115.2593078,234,-128.38,77.88
27.82,4,9.48,9.8,2.44,5.11,35.7866287,-115.2592926,227,-135.44,77.19
28.22,4,8.52,9.36,2.06,6.52,35.7866592,-115.2592773,221,-141.06,76.65
28.51,4,9.93,10.52,2.13,8.1,35.7866821,-115.2592773,216,-146.13,76.17
28.97,4,8.71,10.28,1.88,10.01,35.7867164,-115.2592697,213,-148.88,75.9
29.31,4,9.52,9.79,1.63,11.76,35.7867469,-115.2592544,211,-150.63,75.72
29.71,4,8.57,9.02,1.19,13.54,35.7867774,-115.2592391,209,-152.19,75.54
30.11,4,9.52,9.66,0.44,15.33,35.7868194,-115.2592086,209,-151.44,75.57
30.51,4,10.46,10.81,0.12,17.12,35.7868614,-115.259201,207,-153.13,75.36
30.91,4,10.06,10.2,359.56,18.89,35.7869033,-115.2591857,206,-153.56,75.3
31.31,4,5.73,6.2,359.5,20.59,35.7869415,-115.2591552,207,-152.5,75.36
31.7,4,8.88,9.66,359.38,22.26,35.7869834,-115.25914,205,-154.38,75.15
32.1,4,11.36,11.89,359,23.89,35.7870216,-115.2591323,205,-154,75.15
32.5,4,15.29,15.57,358.38,25.45,35.7870597,-115.2591171,204,-154.38,75.09
32.9,4,10.64,10.86,357.19,26.67,35.7870941,-115.2591171,203,-154.19,75.06
33.3,4,10.36,10.63,356.13,27.96,35.7871437,-115.2591018,202,-154.13,75.03
33.7,4,9.35,9.77,354.81,29.15,35.787178,-115.2590713,203,-151.81,75.21
34.1,4,9.16,10.8,352.88,30.27,35.7872123,-115.2590637,202,-150.88,75.24
34.49,4,10.13,10.43,351.19,31.33,35.787239,-115.2590484,203,-148.19,75.45
34.89,4,8.6,8.67,349.75,32.36,35.7872695,-115.2590332,202,-147.75,75.45
35.29,4,10.1,10.41,348.56,33.4,35.7872962,-115.2590179,202,-146.56,75.54
35.69,4,9.82,10.22,347.13,34.45,35.7873191,-115.2590179,202,-145.13,75.63
36.09,4,9.31,9.31,345.94,35.5,35.7873458,-115.2590026,202,-143.94,75.69
36.48,4,8.93,8.95,344.88,36.58,35.7873611,-115.2590026,202,-142.88,75.75
36.88,4,9.9,10.31,343.81,37.77,35.7873916,-115.258995,201,-142.81,75.72
37.28,4,9.03,9.18,342.63,39.07,35.7874145,-115.2589645,202,-140.63,75.9
37.68,4,10.05,10.24,341.44,40.43,35.7874374,-115.2589645,202,-139.44,75.96
38.08,4,9.65,10.06,340.5,41.86,35.7874641,-115.2589492,202,-138.5,76.02
38.48,4,9.3,9.75,339.44,43.33,35.7874832,-115.2589492,201,-138.44,75.99
38.88,4,9.6,10.08,338.56,44.83,35.7875099,-115.2589492,201,-137.56,76.02
39.28,4,8.74,8.89,337.56,46.39,35.7875328,-115.2589416,201,-136.56,76.08
39.68,4,9.17,9.38,336.5,47.94,35.7875518,-115.2589416,201,-135.5,76.14
40.08,4,9.55,9.88,335.69,49.5,35.7875785,-115.2589416,200,-135.69,76.11
40.48,4,9.39,9.59,334.81,51.05,35.7876014,-115.2589263,200,-134.81,76.14
40.91,4,8.96,9.03,333.94,52.6,35.7876205,-115.2589263,200,-133.94,76.2
41.27,4,9.22,9.49,332.94,54.13,35.7876472,-115.2589263,199,-133.94,76.17
41.67,4,9.58,9.98,332.19,55.66,35.7876663,-115.2589263,199,-133.19,76.2
